"outbreak_number","start_weekday","country","location","temporal_scale","spatial_scale","population","area","who_region","start_date","end_date","total_suspected_cases","total_confirmed_cases","total_deaths","duration","right_censored","EpiPeriod","location_period_id","threshold","cfr","confirmed_prop","population_density","attack_rate","time_to_peak..weeks.","total_suspected_cases.1","mean_R0","definition","pop_cat","confirmed_attackrate","rural_urban"
1,"daily_group","ETH","afr::eth::addisababa","daily","admin1",3290830,539.4659939,"AFR","6/6/2016","8/28/2016",7389,2593,12,12,"no","complete","16657",11.4651926717576,0.2,35.0927053728515,6100.16208104123,2.245330035,5.43,7389,2.79,"old_definition",">1,000,000",0.787947113646101,"Urban settings"
1,"daily_group","ETH","afr::eth::addisababa::addisababa","daily","admin2",3290830,539.4659939,"AFR","6/6/2016","8/28/2016",7389,2593,12,12,"no","complete","16657",11.4651926717576,0.2,35.0927053728515,6100.16208104123,2.245330035,5.43,7389,2.79,"old_definition",">1,000,000",0.787947113646101,"Urban settings"
1,"daily_group","ETH","afr::eth::addisababa::addisababa::akakikality","daily","admin3",213162,126.9109304,"AFR","6/6/2016","8/28/2016",475,192,0,12,"no","complete","15545",16.2786988299978,0,40.4210526315789,1679.61892114535,2.228350676,2.86,475,2.26,"old_definition","100,000-1,000,000",0.900723393475385,"Urban settings"
1,"daily_group","ETH","afr::eth::addisababa::addisababa::arada","daily","admin3",250124,9.921690006,"AFR","6/6/2016","8/28/2016",443,202,1,12,"no","complete","15546",8.39583566550991,0.2,45.5981941309255,25209.8180701817,1.771116988,7.14,443,2.22,"old_definition","100,000-1,000,000",0.807599430682381,"Urban settings"
1,"daily_group","ETH","afr::eth::addisababa::addisababa::bole","daily","admin3",374868,126.7294036,"AFR","6/6/2016","9/18/2016",712,213,0,15,"no","complete","15547",8.26957755796707,0,29.9157303370787,2958.01912856157,1.899332699,9,712,2.71,"old_definition","100,000-1,000,000",0.568200006402254,"Urban settings"
1,"daily_group","ETH","afr::eth::addisababa::addisababa::gulele","daily","admin3",310851,30.51479869,"AFR","6/6/2016","8/28/2016",626,228,2,12,"no","complete","15548",11.3559229341389,0.3,36.4217252396166,10186.8933548583,2.013825345,6.57,626,2.08,"old_definition","100,000-1,000,000",0.733470376482623,"Urban settings"
1,"daily_group","ETH","afr::eth::addisababa::addisababa::kirkos","daily","admin3",256812,14.63287987,"AFR","6/6/2016","8/28/2016",518,259,0,12,"no","complete","15549",8.68339485693815,0,50,17550.3388452269,2.017037002,5,518,2.68,"old_definition","100,000-1,000,000",1.0085198510973,"Urban settings"
1,"daily_group","ETH","afr::eth::addisababa::addisababa::kolfekeraniyo","daily","admin3",564510,68.48846955,"AFR","6/6/2016","8/21/2016",1082,423,1,11,"no","complete","15550",13.5870046589077,0.1,39.09426987061,8242.40932392101,1.916705675,5.14,1082,2.65,"old_definition","100,000-1,000,000",0.749322421214859,"Urban settings"
1,"daily_group","ETH","afr::eth::addisababa::addisababa::lideta","daily","admin3",212717,9.182276688,"AFR","6/6/2016","8/21/2016",527,222,2,11,"no","complete","15551",13.304061264497,0.4,42.1252371916509,23166.0411930292,2.477462605,5.29,527,2.53,"old_definition","100,000-1,000,000",1.04364014159658,"Urban settings"
1,"daily_group","ETH","afr::eth::addisababa::addisababa::nifassilk","daily","admin3",417408,60.4256082,"AFR","6/6/2016","8/28/2016",1316,302,3,12,"no","complete","15552",13.0088546458142,0.2,22.9483282674772,6907.7997298503,3.152790555,8.43,1316,2.68,"old_definition","100,000-1,000,000",0.72351272615762,"Urban settings"
1,"daily_group","ETH","afr::eth::addisababa::addisababa::yeka","daily","admin3",393021,85.40447794,"AFR","6/6/2016","9/25/2016",973,289,4,16,"no","complete","15553",6.18287572419794,0.4,29.7019527235355,4601.87813894387,2.475690549,7.14,973,2.3,"old_definition","100,000-1,000,000",0.735329664318192,"Urban settings"
