outbreak_number,location,start_weekday,duration,threshold,total_suspected_cases,attack_rate,total_deaths,cfr,spatial_scale,temporal_scale,country,population,area,mean_R0,population_density,rural_urban,pop_cat
1,afr::cod::nordkivu::kirotshehealthdistrict,Monday,18,3.36056298,576,1.268234134,3,0.520833333,Second administrative level,weekly,COD,454174.8,1050.024142,2.27,432.5374835,rural,"Population <1,000,000"
1,afr::cod::nordkivu::kyondohealthdistrict,Monday,18,5.551410303,97,2.490318076,3,3.092783505,Second administrative level,weekly,COD,38950.8,896.9967528,1.96,43.42356857,rural,"Population <100,000"
1,afr::cod::nordkivu::luberohealthdistrict,Monday,9,1.142040613,162,0.888670302,5,3.086419753,Second administrative level,weekly,COD,182294.8,1775.570882,2.16,102.6682752,rural,"Population <1,000,000"
1,afr::cod::nordkivu::masisihealthdistrict,Monday,27,6.816851732,561,4.517496144,13,2.317290553,Second administrative level,weekly,COD,124183.8,1133.934687,1.61,109.5158314,rural,"Population <1,000,000"
1,afr::cod::nordkivu::rutshuruhealthdistrict,Monday,25,2.42490885,206,0.928324727,0,0,Second administrative level,weekly,COD,221905.1,1031.150009,2.01,215.2015692,rural,"Population <1,000,000"
1,afr::cod::nordkivu::vuhovihealthdistrict,Monday,12,0.683390035,197,3.294916165,11,5.583756345,Second administrative level,weekly,COD,59789.1,791.108018,1.7,75.57640504,rural,"Population <100,000"
1,afr::cod::nordkivu::walikalehealthdistrict,Monday,3,0.347993684,10,0.049792176,1,10,Second administrative level,weekly,COD,200834.8,7608.648358,1.87,26.39559493,rural,"Population <1,000,000"
1,afr::cod::orientale::bogahealthdistrict,Monday,11,0.47010544,32,0.651471808,0,0,Second administrative level,weekly,COD,49119.5,1059.114402,1.83,46.37789828,rural,"Population <100,000"
1,afr::cod::orientale::isangihealthdistrict,Monday,9,1.040540998,172,1.31278239,5,2.906976744,Second administrative level,weekly,COD,131019.4,2148.232837,2.55,60.9893852,rural,"Population <1,000,000"
1,afr::cod::orientale::likatihealthdistrict,Monday,7,0.587972909,29,0.371472884,0,0,Second administrative level,weekly,COD,78067.6,13085.39802,1.77,5.96600882,rural,"Population <100,000"
1,afr::cod::orientale::lingahealthdistrict,Monday,22,0.580100911,64,0.546543095,1,1.5625,Second administrative level,weekly,COD,117099.6,583.3041899,1.84,200.752201,rural,"Population <1,000,000"
1,afr::cod::orientale::litahealthdistrict,Monday,19,0.509558658,88,0.84815841,12,13.63636364,Second administrative level,weekly,COD,103754.2,482.7080546,1.77,214.9419282,rural,"Population <1,000,000"
1,afr::cod::orientale::logohealthdistrict,Monday,11,0.198731518,46,0.192213348,8,17.39130435,Second administrative level,weekly,COD,239317.4,266.7059991,1.84,897.3079001,rural,"Population <1,000,000"
1,afr::cod::orientale::lowahealthdistrict,Monday,12,9.379909905,623,14.89323734,31,4.975922953,Second administrative level,weekly,COD,41831.1,15026.5966,1.23,2.783804019,rural,"Population <100,000"
1,afr::cod::orientale::lubungahealthdistrict,Monday,13,1.082978621,316,1.52848862,17,5.379746835,Second administrative level,weekly,COD,206740.2,3767.544629,2.29,54.87398833,rural,"Population <1,000,000"
1,afr::cod::orientale::makisokisanganihealthdistrict,Monday,6,0.122505073,6,0.012726089,0,0,Second administrative level,weekly,COD,471472.4,500.6467342,1.95,941.7267063,rural,"Population <1,000,000"
1,afr::cod::orientale::mangobohealthdistrict,Monday,14,0.22193518,12,0.565066268,1,8.333333333,Second administrative level,weekly,COD,21236.4,108.6418608,2.06,195.4716151,rural,"Population <100,000"
1,afr::cod::orientale::nizihealthdistrict,Monday,16,0.280832305,110,0.679817859,0,0,Second administrative level,weekly,COD,161808,302.1710535,2.1,535.4847796,rural,"Population <1,000,000"
1,afr::cod::orientale::nyarambehealthdistrict,Monday,27,2.791425495,374,1.9468675,9,2.406417112,Second administrative level,weekly,COD,192103.5,572.9292759,1.61,335.3005477,rural,"Population <1,000,000"
1,afr::cod::orientale::rethyhealthdistrict,Monday,13,0.41650015,37,0.15359898,2,5.405405405,Second administrative level,weekly,COD,240887,664.7453671,1.64,362.374846,rural,"Population <1,000,000"
1,afr::cod::orientale::yahumahealthdistrict,Monday,16,0.401717872,125,0.898402876,12,9.6,Second administrative level,weekly,COD,139135.8,21474.5481,2.49,6.47910258,rural,"Population <1,000,000"
1,afr::cod::sudkivu,Monday,5,2.669743977,689,0.126876177,,,First administrative level,weekly,COD,5430491.5,64149.10902,1.43,84.65419993,rural,"Population >1,000,000"
1,afr::cod::sudkivu::bagirahealthdistrict::burhiba,Monday,19,2.965985421,36,1.138005168,0,0,Third administrative level,weekly,COD,31634.3,2.11663652,2.12,14945.55144,urban,"Population <100,000"
1,afr::cod::sudkivu::fizihealthdistrict,Monday,12,10.63881099,772,2.527601389,0,0,Second administrative level,weekly,COD,305427.9,8226.060666,1.76,37.12930313,rural,"Population <1,000,000"
1,afr::cod::sudkivu::fizihealthdistrict::mwangaza,Monday,6,16.56539408,43,5.426224567,0,0,Third administrative level,weekly,COD,7924.5,8.742575393,2.29,906.4262696,rural,"Population <10,000"
